Producto;Tipo;presentacion;Cantidad que trae;Unidad medida;Precio compra;Costo por unidad;Costo por gramos ;
Almendra confitada 500gr;Paquete;Bolsa;500;gramos;11600;23,2;23,2;
Baileys mediano;Unidad;;1;unid;76000;76000;76000;
Bandeja con tapa alta ;Unidad;;1;unid;1100;1100;1100;
Bandeja de fresas;Paquete;Bandeja;500;gramos;8000;16;16;
Bandeja ecologica 250gr;Paquete;Bolsa;15;unid;10000;666,666666666667;666,666666666667;
Bandeja madera soporte para cerveza;Unidad;;1;unid;13000;13000;13000;
Base para dulces negra con tapa plast redonda;Paquete;;1;unid;4200;4200;4200;
Block mantequilla;Paquete;;35;unid;8000;228,571428571429;228,571428571429;
Bolsa de yute x 2;Paquete;;2;unid;2000;1000;1000;
Bolsa pvc ;Unidad;;2;unid;16000;8000;8000;
Bomba Metal R12 X12;Paquete;;12;unid;5100;425;425;
Bomba sem feliz dia cora rojo ;Paquete;;12;unid;8000;666,666666666667;666,666666666667;
Bomba semp cora rojo ;Paquete;;12;unid;11000;916,666666666667;916,666666666667;
Bomba semp feliz cum destell metz surt x 12;Paquete;;12;unid;8000;666,666666666667;666,666666666667;
Bomba semp feliz cum infinity surt x 12;Paquete;;12;unid;8000;666,666666666667;666,666666666667;
Bomba semp inf Ngr R12;Paquete;;12;unid;8000;666,666666666667;666,666666666667;
Bomba Serpentx fash fucsia R5 ;Paquete;;50;unid;7400;148;148;
Bomba Serpentx fash rojo R5 ;Paquete;;50;unid;7400;148;148;
Bomba Serpentx fash surtido R5;Paquete;;50;unid;7400;148;148;
Bomba Serpentx metalizada surtido R5 deluxe;Paquete;;50;unid;16000;320;320;
Botella 400ml para sangria;Unidad;;1;unid;2500;2500;2500;
Brillo globos sencillos ;Unidad;;1;unid;7400;7400;7400;
Caja ancheta mdf acril regalo;Unidad;;1;unid;10600;10600;10600;
Caja buzon acetato;Unidad;;1;unid;10000;10000;10000;
Caja circular ;Unidad;;1;unid;18000;18000;18000;
Caja corazon pastadura ;Unidad;;1;unid;20000;20000;20000;
caja de regalo negra, pequeña con cinta plata, para fresa;Unidad;;1;unid;10000;10000;10000;
Caja desayuno carton grand;Unidad;;1;unid;4500;4500;4500;
Caja Essencial metz sin ventana grand;Unidad;;1;unid;7800;7800;7800;
Caja gurmet acetato;Unidad;;1;unid;15000;15000;15000;
Caja kraft MF sin ventana grand NGR;Unidad;;1;unid;5500;5500;5500;
Caja kraft MF sin ventana mediana NGR;Unidad;;1;unid;2900;2900;2900;
Caja madera con division para vino;Unidad;;1;unid;12000;12000;12000;
Caja madera cuadrada ;Unidad;;1;unid;8000;8000;8000;
Caja madera rectangular mediana;Unidad;;1;unid;5000;5000;5000;
Caja Oasis economico ;Paquete;;54;unid;79400;1470,37037037037;1470,37037037037;
Caja rectangular;Unidad;;1;unid;24000;24000;24000;
Canasticas Greco relleno mora;;;1;unid;7000;7000;7000;
Cartulina opalina carta liso x50;;;50;unid;12500;250;250;
Cerveza corona extra x 6;Paquete;;6;unid;28000;4666,66666666667;4666,66666666667;
Chocolate adoros rectangular T3;;;1;unid;4600;4600;4600;
Chocolate Adro cherir corazon  X5;;;1;unid;9400;9400;9400;
Chocolate adro emoji ;;;1;unid;5600;5600;5600;
Chocolate cobertura blanco coordillera kilo;Paquete;;1000;gramos;49000;49;49;
Chocolate ferrero x8;Paquete;;8;unid;28000;3500;3500;
Chocolate jet burbuja x 12 ;Paquete;;12;unid;15000;1250;1250;
Chocolate lexus fresa 1 kg;Paquete;;40;gramos;37300;932,5;932,5;
Chocolatina rellena Italo;;;1;unid;9200;9200;9200;
Cinta doble cara 2cm;Paquete;;300;cm;4600;15,3333333333333;15,3333333333333;
Cinta dorada doble razo 2,5cm x 50y;Paquete;;4600;cm;13000;2,82608695652174;2,82608695652174;
Cinta Mega 2 razo 25x50 YDS (45 mts  2.5 cm ancho);Paquete;;45;unid;16400;364,444444444444;364,444444444444;
cinta negra satin ;Paquete;;1800;cm;8000;4,44444444444444;4,44444444444444;
Cinta papel 9x50;Paquete;;1;unid;4000;4000;4000;
Cinta para arco adhesiva puntos;Paquete;;1;unid;1600;1600;1600;
Cinta razo 25x25 YDS (22mts largo x 2.5 cm ancho);Paquete;;2200;cm;6300;2,86363636363636;2,86363636363636;
Cinta razo 25x50 YDS (45mts x 2.5 cm ancho);Paquete;;4500;cm;11300;2,51111111111111;2,51111111111111;
Cinta razo 50x25 YDS (45mts largo x 5cm ancho);Paquete;;4500;cm;11700;2,6;2,6;
circulo MDF 30cm;Unidad;;1;unid;3800;3800;3800;
Colorante chocolate rosa pastel ;Unidad;;13;ml;11000;846,153846153846;846,153846153846;
Confetti globo burbuja fig peq;Unidad;;1;unid;1400;1400;1400;
Corona Extra ;Paquete;;6;unid;26000;4333,33333333333;4333,33333333333;
Dulce de leche Vakanisima 500gr;;;500;gramos;5000;10;10;
Ferro x 3;Unidad;;1;unid;11000;11000;11000;
Ferro x 4;Unidad;;1;unid;11000;11000;11000;
flores y follaje;;;1;unid;6000;6000;6000;
Frasco conservero mini;Unidad;;1;unid;1100;1100;1100;
Frasco de vidrio corcho;Unidad;;1;unid;3500;3500;3500;
Frasco vidrio compotero  med 231ml;Unidad;;1;unid;2100;2100;2100;
Frasco vidrio jugo med 300ml;Unidad;;1;unid;1900;1900;1900;
Fresa bandeja ;Paquete;;15;unid;8000;533,333333333333;533,333333333333;
Fresa con chocolate dorada;Unidad;;1;unid;4000;4000;4000;
Galletas chocolate moments;;;9;unid;12400;1377,77777777778;1377,77777777778;
Globo burbuja 18 pul;Unidad;;1;unid;1500;1500;1500;
Globo burbuja 24 pul ;Unidad;;1;unid;2500;2500;2500;
Globo burbuja 30 pul peluches ;Unidad;;1;unid;3200;3200;3200;
Globo corazon 18 pul rojo;Unidad;;1;unid;850;850;850;
Globo estrella  10 pul rosado;Unidad;;2;unid;700;350;350;
Globo foil corazon agata 18 pul azul;Unidad;;1;unid;1000;1000;1000;
Globo foil corona 24 pul plata;Unidad;;1;unid;1900;1900;1900;
